"","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","x10","x11","x12","x13","Degree"
"256",17748,16825,2137,700,2750,145,190,97,246,10,9,2,3,2,2
"257",27345,26110,3189,2066,12149,498,606,445,1465,17,47,14,5,6,3
"258",14569,14956,3277,1889,13992,696,485,253,668,9,19,3,4,2,1
"259",16340,15215,947,276,883,66,119,38,110,4,5,1,1,1,1
"260",16238,14123,2019,1353,8702,417,406,307,1355,13,32,16,2,3,1
"261",24986,23459,1603,496,1938,110,237,66,222,8,13,5,0,2,3
"262",37637,35423,1658,951,3834,235,375,209,616,8,18,12,3,7,4
"263",11643,11136,1205,865,4336,272,293,212,782,6,16,9,2,0,1
"264",16296,15320,1288,291,1942,69,129,36,144,2,6,2,1,1,1
"265",25172,23527,1055,308,2367,46,163,40,103,5,6,2,0,4,3
"266",15539,15334,5007,1945,10141,399,711,616,2164,17,48,18,6,2,1
"267",16725,16185,2843,1085,4839,285,265,167,395,6,8,5,3,3,1
"268",26409,25367,4887,1776,9349,430,628,461,1110,15,40,9,2,10,3
"269",33153,31703,4460,1761,9785,435,493,355,933,20,29,7,7,6,4
"270",17363,15906,2722,1073,5382,254,456,235,930,7,35,14,2,3,2
"271",15179,17378,5532,1316,12727,289,413,432,1672,11,65,13,15,1,1
"272",27628,26209,2208,1115,5074,311,370,162,476,15,15,9,1,5,3
"273",20118,19816,3286,1394,7666,332,425,307,963,12,37,10,6,3,2
"274",21020,19685,2132,703,2006,163,192,123,216,5,10,2,5,1,2
"275",14795,14622,1977,1131,3435,299,241,190,358,11,8,2,2,2,1
"276",11490,10851,1164,437,2426,105,123,66,182,2,4,3,1,3,1
"277",18058,17405,1589,586,1859,117,238,105,271,9,13,4,1,2,2
"278",24026,22859,1894,645,2695,149,262,132,373,11,9,5,5,4,3
"279",15869,16258,2880,562,4209,107,210,163,445,11,17,3,2,0,1
"280",26817,25674,2358,690,4103,150,285,139,408,14,13,6,4,6,3
"281",40931,39385,4991,1724,7097,358,561,313,856,15,26,9,9,7,4
"282",1104,708,14,2784,11092,2538,105,90,352,1,2,1,0,2,1
"283",34243,32018,2042,1673,9510,407,702,245,835,14,32,12,9,7,4
"284",27997,25996,2863,3354,25293,1035,1135,603,2192,23,63,15,9,5,3
"285",13232,12528,1135,650,3711,174,233,115,297,6,14,2,4,4,1
"286",17222,16038,1691,639,3940,134,280,104,307,9,10,5,4,4,2
"287",21141,19748,2225,693,2012,159,249,142,277,5,10,2,3,2,2
"288",20488,19122,1950,1042,3733,329,326,178,370,10,13,8,3,4,2
"289",21512,20090,1832,1225,6909,337,429,186,584,13,25,5,0,4,2
"290",30003,27855,7035,5455,52428,2007,1807,684,3209,19,128,18,5,1,4
"291",16506,15391,1259,1259,9568,253,530,265,1083,7,44,12,1,2,1
